attendance,ct_marks,mid_marks,previous_semester_gpa,study_hours_per_week,result
4.2,4.6,7.2,1.24,19.0,0
8.8,6.4,23.5,3.15,20.3,1
7.4,6.3,16.4,3.31,20.7,1
7.8,6.5,14.3,2.65,19.1,1
5.8,3.5,9.7,1.68,9.8,0
8.6,7.6,19.2,3.55,19.8,1
2.7,0.7,7.8,0.57,11.1,0
3.8,2.8,12.1,2.23,13.0,0
8.0,3.7,14.1,2.96,21.6,1
5.6,2.7,13.0,1.81,17.3,1
3.9,5.1,14.1,2.43,13.2,0
6.7,4.4,10.1,1.51,16.3,0
5.8,4.5,13.9,2.94,23.2,1
9.2,5.9,18.8,3.2,17.1,0
5.9,4.3,11.6,2.19,17.1,0
7.0,5.8,18.2,2.52,17.4,1
4.2,2.9,5.5,0.33,9.8,0
4.9,1.1,5.8,2.44,9.6,0
3.7,2.0,3.5,1.63,19.4,0
3.9,2.8,9.0,1.49,9.5,0
5.4,3.2,6.9,1.49,17.7,0
4.1,4.2,13.0,2.14,12.8,0
5.5,5.8,20.2,2.77,16.5,1
4.8,2.3,3.2,2.03,17.1,0
5.3,3.8,8.8,1.6,20.3,0
4.8,3.4,15.9,2.32,15.6,1
3.5,5.0,13.8,2.49,18.3,0
6.6,4.9,16.2,2.66,18.1,1
6.6,5.2,13.2,3.52,17.8,1
8.7,6.9,18.7,3.67,17.6,1
4.9,6.0,10.5,2.46,19.4,1
6.5,3.4,12.8,1.65,11.4,0
4.9,5.2,10.9,1.93,21.5,1
5.5,6.2,19.0,2.31,15.7,1
7.6,5.0,13.3,2.5,16.9,1
4.5,2.7,5.0,1.89,16.0,0
5.4,4.1,12.2,2.34,16.6,1
6.0,4.5,6.4,2.02,15.7,0
10.0,9.0,24.9,4.0,22.9,1
9.9,7.8,22.4,4.0,25.5,1
3.8,3.3,12.0,1.78,11.0,0
5.4,2.7,5.4,2.27,14.9,0
3.9,1.2,9.0,0.92,11.9,0
4.0,6.0,15.0,1.36,17.9,1
6.2,4.7,18.6,2.11,16.8,1
7.5,5.3,18.3,2.51,27.1,1
6.0,5.3,14.6,1.71,13.4,0
6.1,4.1,6.4,1.64,13.3,0
2.5,1.9,5.8,0.31,9.1,0
5.4,4.0,10.2,0.89,10.5,0
5.0,2.6,3.2,0.85,8.9,0
4.5,3.4,7.3,2.22,12.5,0
5.2,1.6,8.1,1.23,18.2,0
5.6,4.2,10.5,2.27,15.8,0
2.4,2.0,6.3,0.24,9.0,0
2.8,4.3,2.7,1.6,16.8,0
10.0,8.0,17.6,3.85,28.8,1
3.9,0.0,9.4,1.29,17.4,0
6.0,3.1,11.1,2.25,9.5,0
7.9,10.0,21.4,4.0,19.8,1
9.3,8.9,25.1,3.88,30.3,1
6.6,2.2,10.5,1.03,13.7,0
4.3,4.4,13.4,1.78,14.1,0
4.4,3.7,14.5,2.68,20.1,0
9.6,5.7,23.9,3.54,25.5,1
3.6,2.4,6.1,1.25,11.0,0
5.5,4.2,12.5,2.59,16.4,1
6.4,3.3,15.3,2.78,22.3,1
6.7,3.8,13.7,3.47,12.9,1
4.4,3.7,10.4,1.94,15.2,0
5.5,3.7,12.6,2.81,11.4,0
4.4,3.0,7.5,1.24,8.2,0
4.5,2.5,7.9,2.39,13.3,0
4.8,4.8,15.2,1.7,17.4,0
5.8,3.3,10.5,2.04,15.7,1
3.6,5.3,11.5,1.94,12.0,0
6.1,3.0,13.1,2.97,17.9,1
7.4,4.7,18.4,3.03,14.7,1
5.7,5.1,8.2,1.81,18.4,0
6.1,6.9,19.4,1.94,21.8,0
5.9,4.9,12.0,1.67,16.1,1
5.2,5.0,17.6,1.49,15.4,0
5.5,3.6,8.7,1.67,15.6,0
7.7,4.0,14.1,2.9,9.1,1
5.2,3.6,18.2,2.12,18.1,1
9.3,6.2,21.6,2.97,34.9,1
7.8,5.2,23.5,3.38,20.5,1
6.8,5.6,15.9,2.44,16.9,1
6.3,2.3,10.2,2.43,16.9,0
4.8,3.3,8.8,0.73,19.5,0
5.7,4.3,20.2,3.0,23.7,0
6.7,5.3,13.0,3.09,8.4,1
7.8,4.8,12.5,2.76,19.9,1
3.2,3.5,4.5,1.03,21.3,0
8.1,6.4,18.7,2.99,21.5,1
5.8,6.5,16.1,2.7,13.0,0
2.8,1.6,9.3,1.62,14.0,1
5.3,3.9,15.2,1.5,9.7,0
4.5,3.3,10.6,2.76,22.0,1
5.7,4.0,11.1,1.69,12.6,1
6.7,4.0,7.7,2.1,15.7,0
3.8,3.1,18.1,2.19,12.5,0
4.2,2.4,11.8,1.75,13.3,0
5.0,2.8,14.1,2.31,22.7,1
7.8,3.8,14.2,3.13,21.1,1
1.9,0.0,0.7,0.0,6.3,0
6.9,5.2,14.7,1.87,11.0,0
7.1,3.0,12.2,1.9,9.3,1
6.8,3.4,16.9,2.57,12.1,1
5.5,6.1,20.4,1.44,15.6,1
3.8,1.2,1.7,1.08,14.9,0
5.4,5.2,12.1,1.99,15.0,0
9.1,8.0,19.9,3.36,27.7,1
2.6,2.8,11.4,0.72,8.8,0
7.9,4.1,19.4,3.42,17.9,1
6.6,3.9,11.5,2.07,10.9,0
6.0,2.5,11.8,2.07,20.0,1
4.2,5.8,8.3,1.56,21.5,0
5.8,2.1,13.1,1.09,8.2,0
4.8,4.6,17.1,3.22,18.8,1
7.0,4.1,14.5,3.47,23.1,1
8.2,5.2,22.1,3.64,15.7,1
7.4,7.8,19.8,3.17,22.0,1
7.2,8.2,17.3,2.77,22.5,1
8.2,6.5,21.4,3.95,21.8,1
5.3,3.3,16.5,1.75,19.8,1
6.9,3.0,20.2,2.19,25.8,1
5.5,3.8,13.6,2.05,23.2,1
6.1,4.2,15.9,1.97,16.2,1
5.0,2.7,8.9,2.17,12.0,1
8.3,6.4,16.5,2.87,15.5,1
3.1,3.0,10.0,0.48,16.6,0
7.1,6.1,18.1,2.32,13.1,0
6.9,4.1,8.2,0.95,14.7,0
5.8,4.5,16.8,3.04,20.2,1
7.1,6.4,17.5,2.73,16.5,1
7.8,7.1,20.6,3.49,22.8,1
6.5,6.5,22.2,3.22,28.7,1
2.7,2.9,8.0,1.42,11.0,0
5.6,2.6,15.9,2.08,14.3,1
6.1,1.4,7.6,0.41,16.8,0
3.9,2.5,10.3,2.03,15.7,1
6.8,5.2,16.7,3.63,26.5,1
5.4,6.1,17.1,2.83,18.8,1
6.6,4.2,10.8,2.03,13.2,1
4.0,4.2,5.5,0.92,6.1,0
5.9,5.0,12.4,3.03,9.9,1
3.7,2.8,6.8,0.84,5.3,0
4.0,4.7,12.5,1.96,15.8,1
6.1,5.4,16.8,1.77,11.7,1
9.9,6.8,17.7,2.75,24.7,1
8.1,7.4,19.4,3.29,18.2,1
1.8,1.0,1.9,0.26,8.4,0
6.9,4.7,6.1,2.78,13.8,0
5.1,3.4,11.4,2.35,19.0,0
4.7,5.6,19.1,2.49,14.3,1
9.1,8.6,17.5,4.0,17.2,1
4.1,1.6,4.1,0.45,14.8,0
6.1,5.4,16.8,1.01,15.9,1
6.2,2.9,12.1,2.35,17.1,1
3.5,2.0,5.8,1.16,14.1,0
8.7,6.8,16.7,3.54,20.7,1
6.8,4.2,19.5,1.87,18.9,1
6.6,8.5,19.5,2.59,15.5,1
3.4,3.2,10.6,1.51,22.8,0
7.1,5.2,21.1,2.7,16.4,0
8.4,6.3,20.8,2.5,25.7,1
5.0,2.2,9.8,2.13,16.2,0
6.8,4.0,12.0,2.1,20.2,1
6.6,6.1,17.3,2.72,20.0,1
5.4,2.6,7.0,1.83,18.2,0
6.5,3.4,5.8,2.02,12.4,0
4.9,5.7,13.7,1.92,20.1,1
4.8,6.3,11.9,2.56,24.8,1
6.7,6.5,23.5,2.67,18.2,1
5.3,2.5,8.6,0.89,13.2,0
5.1,3.9,9.8,1.72,13.8,0
7.2,5.6,17.6,3.13,19.3,1
3.0,1.8,3.0,1.14,20.9,0
6.5,2.4,5.5,1.61,9.8,0
7.0,4.2,17.0,2.65,13.1,1
7.8,4.6,23.3,2.24,25.2,1
6.8,2.8,14.4,2.22,18.8,0
8.3,6.8,19.9,3.18,28.7,0
6.8,6.0,16.5,3.02,17.0,1
6.9,7.7,16.2,2.87,19.3,1
6.2,4.4,21.6,2.06,15.3,1
10.0,8.4,24.1,3.5,23.6,1
6.1,4.7,19.2,2.05,8.5,1
2.6,1.1,7.8,1.01,13.0,0
8.6,7.8,16.7,2.6,22.4,1
4.2,4.5,9.9,1.97,14.6,0
7.5,5.3,12.5,2.76,15.0,1
7.0,6.0,19.2,3.19,16.6,1
4.1,1.8,5.4,1.14,14.4,0
5.2,1.2,15.3,0.92,7.8,1
4.0,1.2,1.9,0.87,13.5,0
4.8,2.6,9.8,0.92,22.2,0
6.5,3.8,16.4,1.61,23.5,1
6.5,5.8,16.4,3.0,11.8,1
5.7,6.2,16.2,2.03,14.9,1
3.4,1.2,2.6,0.89,13.7,0
4.1,1.7,3.3,0.0,9.0,0
5.8,3.3,14.3,1.68,10.8,1
4.4,3.2,11.8,1.75,16.4,0
6.0,4.2,16.6,2.28,17.6,1
7.9,6.5,21.8,2.91,26.0,1
6.7,4.0,16.4,2.49,15.7,1
7.5,6.9,18.4,2.94,23.2,1
5.9,4.5,10.8,2.48,11.9,0
7.2,4.6,13.7,3.26,13.7,0
4.2,1.8,8.1,1.21,17.0,1
5.3,4.5,13.6,2.03,20.0,1
7.1,6.0,14.0,2.81,13.0,1
7.9,6.2,15.0,3.36,18.8,1
4.3,6.4,10.0,1.32,9.5,0
5.7,6.8,12.3,2.49,17.1,0
5.6,3.7,11.2,2.53,18.8,1
7.4,4.3,8.5,2.31,14.2,1
5.1,5.9,14.6,2.94,17.7,1
3.3,0.6,2.0,0.52,5.8,0
2.7,3.7,4.2,1.01,9.8,0
3.1,2.6,7.8,1.13,18.8,0
2.2,1.3,4.7,0.23,9.5,0
4.5,4.2,9.2,1.64,10.2,0
6.4,7.5,17.3,2.83,17.2,1
5.5,4.3,13.9,1.7,9.0,0
5.6,4.5,12.1,2.57,12.8,0
5.9,7.6,17.6,4.0,25.0,1
8.5,7.8,24.5,2.55,19.7,1
6.5,4.1,15.6,2.27,23.6,1
8.6,6.6,21.9,2.98,19.9,1
4.4,4.5,16.6,2.5,16.4,1
5.0,3.7,3.9,1.55,16.3,0
5.7,2.1,13.5,2.03,3.8,0
2.7,0.2,5.9,1.49,12.6,1
4.6,2.1,11.4,1.57,13.4,0
5.2,2.8,12.0,2.37,21.1,1
8.8,5.3,17.1,1.91,22.5,1
10.0,8.1,21.8,4.0,16.9,1
2.3,1.9,7.5,1.24,17.1,0
8.9,5.8,15.0,2.95,16.4,1
3.5,1.3,9.8,0.88,9.5,0
7.5,4.8,10.7,2.25,18.5,0
6.6,5.2,11.9,2.15,15.0,1
2.3,2.3,11.3,0.73,16.9,0
7.6,5.1,15.4,3.06,20.4,1
4.9,3.7,10.0,2.15,15.3,0
5.7,6.4,10.5,1.07,18.3,1
4.6,2.9,9.4,1.73,17.4,0
6.1,2.9,7.7,1.68,17.4,0
6.5,4.9,14.8,2.46,23.2,1
5.4,4.3,15.2,1.46,18.1,0
7.4,5.0,13.0,2.66,17.9,1
6.9,5.1,17.6,1.52,22.3,1
8.4,4.8,21.0,3.52,19.8,1
4.7,2.7,14.0,1.33,15.4,0
2.7,1.9,6.5,1.04,18.7,0
6.8,5.7,28.1,3.01,25.9,1
4.8,3.2,14.4,2.4,15.2,1
8.2,6.1,19.7,3.02,17.8,1
7.4,5.3,12.9,2.23,23.3,1
5.5,5.3,13.4,1.89,19.1,0
7.8,5.2,19.6,2.99,18.6,1
9.9,8.1,28.5,3.98,20.8,1
9.0,6.9,27.4,3.71,23.8,0
5.1,5.1,16.6,2.16,16.4,1
7.6,5.5,11.1,1.7,14.1,1
7.3,7.1,20.9,3.22,20.0,1
4.8,4.1,6.4,0.82,14.8,0
6.0,5.6,11.1,2.77,15.7,1
4.9,4.1,13.8,2.23,19.8,1
4.8,4.9,16.5,3.41,22.3,1
5.3,4.6,13.3,1.09,17.6,1
2.8,1.2,6.6,0.89,10.4,0
6.0,1.3,5.0,1.26,13.1,0
3.2,2.8,5.2,1.78,13.2,0
4.0,4.0,11.2,1.55,9.9,0
5.9,3.1,6.8,2.06,18.1,0
10.0,7.5,16.9,3.75,22.6,1
7.5,6.0,20.9,3.2,29.9,1
5.1,0.5,4.6,1.15,19.2,0
4.5,4.4,17.3,2.44,20.1,1
4.6,3.5,14.6,1.24,16.0,1
4.4,3.6,9.9,2.03,16.1,1
4.2,6.1,17.2,2.53,12.8,0
6.8,4.0,13.3,2.6,11.2,1
3.1,2.5,5.2,1.28,11.7,0
6.0,2.6,16.2,3.45,19.3,1
3.7,2.1,6.1,1.43,4.4,0
5.0,3.8,11.7,1.91,14.1,0
9.4,7.3,29.7,3.89,22.0,0
6.5,6.2,11.1,1.78,16.1,1
8.8,7.8,22.5,2.94,17.9,1
6.7,4.8,11.1,2.06,15.2,1
7.8,5.1,18.8,3.16,24.9,1
5.8,5.6,15.1,1.9,18.7,1
5.9,4.3,13.8,2.32,13.5,0
5.3,2.4,6.2,1.36,13.6,0
6.6,3.1,11.6,2.64,17.4,1
4.3,2.6,11.7,1.46,10.6,0
6.4,6.3,22.6,3.08,15.2,1
6.6,8.6,22.2,2.85,23.5,1
6.8,5.2,12.7,1.86,15.7,1
5.4,3.1,12.4,1.42,11.0,0
5.8,3.6,21.7,2.35,17.4,1
4.8,4.5,12.7,1.45,15.8,1
5.9,3.5,20.4,3.11,11.2,1
4.3,2.6,3.2,0.55,10.6,0
5.5,5.0,12.5,2.88,18.7,1
2.2,1.9,6.1,0.0,12.1,0
4.6,2.2,7.4,1.09,20.7,0
7.2,7.1,18.2,2.84,25.3,1
5.7,5.7,15.3,2.72,24.7,1
5.9,2.7,12.4,1.68,25.3,0
3.2,4.4,11.6,0.07,14.8,0
1.6,0.0,4.5,0.09,8.7,0
5.1,4.6,17.0,2.53,18.5,1
10.0,5.1,22.5,3.82,20.8,1
6.5,6.6,15.9,2.65,18.0,1
3.9,5.2,16.1,2.16,12.0,0
7.0,5.3,18.0,2.51,19.2,1
3.2,2.7,3.5,0.72,9.0,0
7.3,5.1,9.8,1.05,12.6,1
6.0,3.8,14.8,2.54,18.2,1
3.5,4.6,12.7,2.09,15.4,0
7.3,4.7,16.5,2.43,10.9,1
8.3,4.6,18.1,2.53,11.5,1
8.4,7.1,20.3,2.5,13.7,1
6.7,5.0,15.4,1.44,10.7,1
6.1,4.7,11.1,3.16,20.6,1
9.0,6.2,21.5,2.97,22.0,1
3.8,2.1,10.2,1.84,17.6,0
4.8,4.1,5.4,0.93,16.6,0
6.4,5.0,16.7,3.0,24.5,1
4.9,4.5,10.3,2.82,18.1,0
7.1,7.3,20.9,3.77,21.3,1
6.1,3.9,16.3,1.89,19.3,1
8.7,8.0,27.6,2.99,24.3,1
6.3,4.4,11.4,2.09,18.1,1
4.9,4.3,15.9,2.44,22.1,1
7.7,5.6,21.6,3.47,11.6,0
4.6,5.0,13.8,1.87,14.0,0
5.4,2.3,9.6,1.43,12.2,0
6.4,4.5,12.8,1.76,19.5,0
7.5,5.3,20.8,1.99,23.9,1
2.9,0.7,8.2,0.74,5.8,0
4.0,4.1,12.3,3.08,23.8,1
3.3,5.0,14.3,1.22,9.9,0
8.9,6.7,22.1,3.04,15.1,1
2.1,0.0,2.2,0.0,8.1,0
4.0,3.5,13.3,1.62,12.6,0
5.1,2.1,6.1,0.7,5.0,0
6.0,7.6,13.6,2.13,16.4,1
6.2,5.2,15.3,2.6,19.7,0
5.3,3.7,6.2,1.53,19.9,0
5.4,5.8,13.4,2.27,13.8,0
5.9,2.1,9.0,1.76,15.6,0
7.7,5.2,11.2,2.13,16.7,1
4.9,5.5,14.9,1.52,20.0,1
7.6,5.5,18.4,2.57,7.0,1
7.9,3.6,15.1,3.09,14.4,1
5.2,4.3,13.1,2.2,17.4,0
7.4,7.2,18.5,2.4,13.6,1
6.0,5.3,18.2,2.17,16.1,0
6.2,6.0,19.5,3.6,21.9,1
3.6,3.1,12.0,2.57,13.4,0
4.4,3.1,13.9,2.21,15.6,0
5.3,3.9,4.5,2.28,16.5,0
4.5,4.6,9.7,2.28,12.2,0
4.3,3.9,7.3,0.79,10.7,0
6.6,4.1,9.6,1.52,12.9,0
4.5,2.5,10.2,1.67,16.0,0
6.3,3.4,14.2,2.16,10.3,0
6.2,5.2,20.1,1.99,18.2,1
4.0,1.6,7.4,1.16,12.1,0
7.1,5.5,18.4,2.5,24.0,1
5.3,5.6,23.0,2.73,20.8,1
7.0,3.2,10.2,1.59,20.5,1
4.3,2.1,14.7,2.01,10.2,1
8.6,5.6,16.4,2.27,16.4,1
6.1,5.3,20.2,3.47,11.8,1
4.9,3.8,10.0,0.86,9.1,0
5.7,5.1,14.6,2.17,21.1,1
6.2,4.9,14.6,1.89,23.0,1
4.0,2.1,6.5,2.16,9.0,0
6.2,3.5,13.6,2.8,15.0,0
4.1,1.8,8.8,1.15,11.6,0
6.9,6.8,20.1,2.73,22.6,1
7.5,6.7,18.8,3.28,13.0,1
4.9,1.5,9.4,1.55,9.1,0
8.7,4.5,17.8,3.08,19.3,1
2.4,2.3,6.8,0.6,1.2,0
5.8,3.2,6.3,1.31,11.0,0
5.2,2.3,8.7,0.99,16.0,0
4.6,5.8,11.8,0.95,14.7,0
5.5,5.2,21.2,3.05,17.8,1
8.2,7.8,26.8,4.0,20.8,1
4.4,3.3,4.5,1.7,16.1,0
6.3,3.1,8.6,0.89,14.9,0
6.4,4.0,11.1,2.51,14.4,1
9.5,9.7,22.6,3.9,21.2,1
4.8,4.0,13.5,0.56,14.1,0
7.8,6.2,11.4,2.4,23.9,1
8.3,7.8,17.9,3.77,24.9,1
5.9,1.3,2.5,0.76,16.2,0
3.6,4.0,9.4,0.43,10.0,0
4.5,2.7,12.4,1.73,12.9,0
3.9,3.8,12.4,1.65,13.7,0
9.3,4.2,19.7,2.79,18.1,1
7.0,2.5,7.5,2.17,12.9,1
3.0,2.2,8.8,0.6,16.0,1
7.8,4.5,14.4,2.6,21.3,1
5.7,1.4,11.1,1.91,13.3,0
9.6,7.4,16.4,3.1,22.6,1
3.4,5.8,12.3,1.53,15.3,0
4.7,5.1,12.4,1.73,17.2,0
6.1,4.9,19.2,1.86,12.5,1
4.9,5.2,12.1,3.0,18.0,0
7.5,6.4,16.7,2.56,17.4,1
3.2,3.3,3.2,0.87,13.7,0
7.3,5.0,17.4,3.01,15.4,0
6.8,3.5,11.3,0.59,3.1,0
5.8,5.1,18.7,1.6,12.6,0
3.4,2.9,5.5,1.17,11.7,0
6.6,5.0,18.3,2.55,17.8,1
5.7,3.3,13.7,1.62,20.6,0
3.5,4.1,3.6,0.99,14.7,0
6.2,6.9,19.8,3.04,18.7,1
7.2,5.6,18.1,2.77,16.8,1
5.4,5.7,11.5,1.9,18.8,1
5.8,5.7,16.1,3.26,18.2,1
4.0,5.5,15.6,1.0,14.4,0
7.4,5.5,10.8,2.53,12.0,1
6.6,8.9,17.4,2.9,22.7,1
4.2,2.0,9.1,1.96,16.0,0
6.3,4.3,17.2,2.23,14.8,1
5.1,4.2,9.4,2.04,14.2,0
6.0,4.5,10.0,2.21,17.1,1
6.4,8.6,21.9,3.91,19.3,1
3.6,2.0,10.7,1.02,11.0,0
2.7,2.0,9.7,0.18,6.4,0
8.0,8.2,17.8,3.79,22.4,1
9.6,8.8,26.0,4.0,21.6,1
4.1,2.5,7.2,1.43,13.2,0
